events count, max value,lower bound - 0.3, upper bound - 0.3, timeSpent
1,195165.0,136615.5,253714.5,0
2,999706.0,699794.2,1299617.8,69
3,999782.0,699847.4,1299716.6,101
4,999782.0,699847.4,1299716.6,125
5,999782.0,699847.4,1299716.6,139
6,999782.0,699847.4,1299716.6,178
7,999782.0,699847.4,1299716.6,242
8,999782.0,699847.4,1299716.6,332
9,999782.0,699847.4,1299716.6,421
10,999782.0,699847.4,1299716.6,510
11,999782.0,699847.4,1299716.6,611
12,999782.0,699847.4,1299716.6,697
13,999782.0,699847.4,1299716.6,791
14,999782.0,699847.4,1299716.6,898
15,999782.0,699847.4,1299716.6,987
16,999782.0,699847.4,1299716.6,1074
17,999782.0,699847.4,1299716.6,1167
18,999782.0,699847.4,1299716.6,1261
19,999782.0,699847.4,1299716.6,1347
20,999782.0,699847.4,1299716.6,1442
21,999782.0,699847.4,1299716.6,1526
22,999782.0,699847.4,1299716.6,1612
23,999782.0,699847.4,1299716.6,1696
24,999782.0,699847.4,1299716.6,1784
25,999782.0,699847.4,1299716.6,1871
26,999782.0,699847.4,1299716.6,1975
27,999782.0,699847.4,1299716.6,2066
28,999782.0,699847.4,1299716.6,2149
29,999782.0,699847.4,1299716.6,2237
30,999782.0,699847.4,1299716.6,2322
31,999782.0,699847.4,1299716.6,2407
32,999782.0,699847.4,1299716.6,2493
33,999782.0,699847.4,1299716.6,2584
34,999782.0,699847.4,1299716.6,2680
35,999782.0,699847.4,1299716.6,2769
36,999782.0,699847.4,1299716.6,2855
37,999782.0,699847.4,1299716.6,2942
38,999782.0,699847.4,1299716.6,3030
39,999782.0,699847.4,1299716.6,3115
40,999782.0,699847.4,1299716.6,3202
41,999782.0,699847.4,1299716.6,3288
42,999782.0,699847.4,1299716.6,3388
43,999782.0,699847.4,1299716.6,3475
44,999782.0,699847.4,1299716.6,3562
45,999782.0,699847.4,1299716.6,3649
46,999782.0,699847.4,1299716.6,3736
47,999782.0,699847.4,1299716.6,3818
48,999782.0,699847.4,1299716.6,3906
49,999782.0,699847.4,1299716.6,4003
50,999782.0,699847.4,1299716.6,4091
51,999782.0,699847.4,1299716.6,4178
52,999782.0,699847.4,1299716.6,4264
53,999782.0,699847.4,1299716.6,4361
54,999782.0,699847.4,1299716.6,4446
55,999782.0,699847.4,1299716.6,4533
56,999782.0,699847.4,1299716.6,4622
57,999782.0,699847.4,1299716.6,4709
58,999782.0,699847.4,1299716.6,4791
59,999782.0,699847.4,1299716.6,4874
60,999782.0,699847.4,1299716.6,4960
61,999782.0,699847.4,1299716.6,5046
62,999782.0,699847.4,1299716.6,5132
63,999782.0,699847.4,1299716.6,5218
64,999782.0,699847.4,1299716.6,5307
65,999782.0,699847.4,1299716.6,5395
66,999825.0,699877.5,1299772.5,5482
67,999825.0,699877.5,1299772.5,5570
68,999825.0,699877.5,1299772.5,5667
69,999825.0,699877.5,1299772.5,5767
70,999825.0,699877.5,1299772.5,5853
71,999825.0,699877.5,1299772.5,5981
72,999825.0,699877.5,1299772.5,6065
73,999825.0,699877.5,1299772.5,6157
74,999825.0,699877.5,1299772.5,6355
75,999825.0,699877.5,1299772.5,6453
76,999825.0,699877.5,1299772.5,6535
77,999825.0,699877.5,1299772.5,6618
78,999825.0,699877.5,1299772.5,6705
79,999825.0,699877.5,1299772.5,6803
80,999825.0,699877.5,1299772.5,6890
81,999825.0,699877.5,1299772.5,6953
82,999825.0,699877.5,1299772.5,7010
83,999825.0,699877.5,1299772.5,7096
84,999825.0,699877.5,1299772.5,7181
85,999825.0,699877.5,1299772.5,7264
86,999825.0,699877.5,1299772.5,7348
87,999825.0,699877.5,1299772.5,7433
88,999825.0,699877.5,1299772.5,7518
89,999825.0,699877.5,1299772.5,7603
90,999825.0,699877.5,1299772.5,7690
91,999825.0,699877.5,1299772.5,7778
92,999825.0,699877.5,1299772.5,7863
93,999825.0,699877.5,1299772.5,7949
94,999825.0,699877.5,1299772.5,8041
95,999825.0,699877.5,1299772.5,8126
96,999825.0,699877.5,1299772.5,8212
97,999825.0,699877.5,1299772.5,8299
98,999825.0,699877.5,1299772.5,8385
99,999825.0,699877.5,1299772.5,8471
100,999825.0,699877.5,1299772.5,8557
101,999825.0,699877.5,1299772.5,8644
102,999825.0,699877.5,1299772.5,8728
103,999825.0,699877.5,1299772.5,8812
104,999825.0,699877.5,1299772.5,8895
105,999825.0,699877.5,1299772.5,8980
106,999825.0,699877.5,1299772.5,9067
107,999825.0,699877.5,1299772.5,9153
108,999825.0,699877.5,1299772.5,9241
109,999825.0,699877.5,1299772.5,9330
110,999825.0,699877.5,1299772.5,9417
111,999825.0,699877.5,1299772.5,9503
112,999825.0,699877.5,1299772.5,9590
113,999825.0,699877.5,1299772.5,9676
114,999825.0,699877.5,1299772.5,9763
115,999825.0,699877.5,1299772.5,9849
116,999825.0,699877.5,1299772.5,9936
117,999825.0,699877.5,1299772.5,10022
118,999825.0,699877.5,1299772.5,10109
119,999825.0,699877.5,1299772.5,10197
120,999825.0,699877.5,1299772.5,10286
121,999825.0,699877.5,1299772.5,10373
122,999825.0,699877.5,1299772.5,10459
123,999825.0,699877.5,1299772.5,10547
124,999825.0,699877.5,1299772.5,10635
125,999825.0,699877.5,1299772.5,10723
126,999825.0,699877.5,1299772.5,10810
127,999825.0,699877.5,1299772.5,10896
128,999825.0,699877.5,1299772.5,10979
129,999825.0,699877.5,1299772.5,11063
130,999825.0,699877.5,1299772.5,11149
131,999825.0,699877.5,1299772.5,11237
132,999825.0,699877.5,1299772.5,11323
133,999825.0,699877.5,1299772.5,11411
134,999825.0,699877.5,1299772.5,11498
135,999825.0,699877.5,1299772.5,11585
136,999825.0,699877.5,1299772.5,11673
137,999825.0,699877.5,1299772.5,11759
138,999825.0,699877.5,1299772.5,11846
139,999825.0,699877.5,1299772.5,11933
140,999825.0,699877.5,1299772.5,12021
141,999825.0,699877.5,1299772.5,12107
142,999825.0,699877.5,1299772.5,12195
143,999825.0,699877.5,1299772.5,12280
144,999825.0,699877.5,1299772.5,12364
145,999825.0,699877.5,1299772.5,12450
146,999825.0,699877.5,1299772.5,12538
147,999825.0,699877.5,1299772.5,12625
148,999825.0,699877.5,1299772.5,12712
149,999825.0,699877.5,1299772.5,12811
150,999825.0,699877.5,1299772.5,12895
151,999825.0,699877.5,1299772.5,12977
152,999825.0,699877.5,1299772.5,13062
153,999825.0,699877.5,1299772.5,13149
154,999825.0,699877.5,1299772.5,13236
155,999825.0,699877.5,1299772.5,13323
156,999825.0,699877.5,1299772.5,13410
157,999825.0,699877.5,1299772.5,13494
158,999825.0,699877.5,1299772.5,13582
159,999825.0,699877.5,1299772.5,13668
160,999825.0,699877.5,1299772.5,13755
161,999825.0,699877.5,1299772.5,13844
162,999825.0,699877.5,1299772.5,13933
163,999825.0,699877.5,1299772.5,14018
164,999825.0,699877.5,1299772.5,14112
165,999825.0,699877.5,1299772.5,14198
166,999825.0,699877.5,1299772.5,14287
167,999825.0,699877.5,1299772.5,14373
168,999825.0,699877.5,1299772.5,14460
169,999825.0,699877.5,1299772.5,14547
170,999825.0,699877.5,1299772.5,14636
171,999825.0,699877.5,1299772.5,14722
172,999825.0,699877.5,1299772.5,14814
173,999825.0,699877.5,1299772.5,14897
174,999825.0,699877.5,1299772.5,14982
175,999825.0,699877.5,1299772.5,15068
176,999825.0,699877.5,1299772.5,15156
177,999825.0,699877.5,1299772.5,15241
178,999825.0,699877.5,1299772.5,15326
179,999825.0,699877.5,1299772.5,15413
180,999825.0,699877.5,1299772.5,15500
181,999825.0,699877.5,1299772.5,15587
182,999825.0,699877.5,1299772.5,15680
183,999825.0,699877.5,1299772.5,15767
184,999825.0,699877.5,1299772.5,15855
185,999825.0,699877.5,1299772.5,15941
186,999825.0,699877.5,1299772.5,16028
187,999825.0,699877.5,1299772.5,16116
188,999825.0,699877.5,1299772.5,16202
189,999825.0,699877.5,1299772.5,16289
190,999825.0,699877.5,1299772.5,16376
191,999825.0,699877.5,1299772.5,16463
192,999825.0,699877.5,1299772.5,16550
193,999825.0,699877.5,1299772.5,16636
194,999825.0,699877.5,1299772.5,16725
195,999825.0,699877.5,1299772.5,16815
196,999825.0,699877.5,1299772.5,16898
197,999825.0,699877.5,1299772.5,16984
198,999825.0,699877.5,1299772.5,17071
199,999825.0,699877.5,1299772.5,17157
200,999825.0,699877.5,1299772.5,17241
201,999825.0,699877.5,1299772.5,17332
202,999825.0,699877.5,1299772.5,17419
203,999825.0,699877.5,1299772.5,17508
204,999825.0,699877.5,1299772.5,17595
205,999825.0,699877.5,1299772.5,17682
206,999825.0,699877.5,1299772.5,17769
207,999825.0,699877.5,1299772.5,17858
208,999825.0,699877.5,1299772.5,17945
209,999825.0,699877.5,1299772.5,18031
210,999825.0,699877.5,1299772.5,18118
211,999825.0,699877.5,1299772.5,18205
212,999825.0,699877.5,1299772.5,18292
213,999825.0,699877.5,1299772.5,18381
214,999825.0,699877.5,1299772.5,18468
215,999825.0,699877.5,1299772.5,18554
216,999825.0,699877.5,1299772.5,18642
217,999825.0,699877.5,1299772.5,18729
218,999825.0,699877.5,1299772.5,18820
219,999825.0,699877.5,1299772.5,18903
220,999825.0,699877.5,1299772.5,18989
221,999825.0,699877.5,1299772.5,19075
222,999825.0,699877.5,1299772.5,19161
223,999825.0,699877.5,1299772.5,19247
224,999825.0,699877.5,1299772.5,19337
225,999825.0,699877.5,1299772.5,19422
226,999825.0,699877.5,1299772.5,19510
227,999825.0,699877.5,1299772.5,19597
228,999833.0,699883.1,1299782.9,19686
229,999833.0,699883.1,1299782.9,19773
230,999833.0,699883.1,1299782.9,19862
231,999833.0,699883.1,1299782.9,19949
232,999833.0,699883.1,1299782.9,20037
233,999833.0,699883.1,1299782.9,20124
234,999833.0,699883.1,1299782.9,20211
235,999833.0,699883.1,1299782.9,20300
236,999833.0,699883.1,1299782.9,20390
237,999833.0,699883.1,1299782.9,20474
238,999833.0,699883.1,1299782.9,20561
239,999833.0,699883.1,1299782.9,20648
240,999833.0,699883.1,1299782.9,20735
241,999833.0,699883.1,1299782.9,20822
242,999833.0,699883.1,1299782.9,20905
243,999833.0,699883.1,1299782.9,20987
244,999833.0,699883.1,1299782.9,21075
245,999833.0,699883.1,1299782.9,21160
246,999833.0,699883.1,1299782.9,21247
247,999833.0,699883.1,1299782.9,21332
248,999833.0,699883.1,1299782.9,21421
249,999833.0,699883.1,1299782.9,21504
250,999833.0,699883.1,1299782.9,21595
251,999833.0,699883.1,1299782.9,21679
252,999833.0,699883.1,1299782.9,21763
253,999833.0,699883.1,1299782.9,21850
254,999833.0,699883.1,1299782.9,21936
255,999833.0,699883.1,1299782.9,22023
256,999833.0,699883.1,1299782.9,22112
257,999833.0,699883.1,1299782.9,22199
258,999833.0,699883.1,1299782.9,22284
259,999833.0,699883.1,1299782.9,22389
260,999833.0,699883.1,1299782.9,22476
261,999833.0,699883.1,1299782.9,22564
262,999833.0,699883.1,1299782.9,22650
263,999833.0,699883.1,1299782.9,22738
264,999833.0,699883.1,1299782.9,22826
265,999833.0,699883.1,1299782.9,22912
266,999833.0,699883.1,1299782.9,22996
267,999833.0,699883.1,1299782.9,23085
268,999833.0,699883.1,1299782.9,23171
269,999845.0,699891.5,1299798.5,23260
270,999845.0,699891.5,1299798.5,23348
271,999845.0,699891.5,1299798.5,23434
272,999845.0,699891.5,1299798.5,23520
273,999845.0,699891.5,1299798.5,23606
274,999845.0,699891.5,1299798.5,23695
275,999845.0,699891.5,1299798.5,23780
276,999845.0,699891.5,1299798.5,23869
277,999845.0,699891.5,1299798.5,23956
278,999845.0,699891.5,1299798.5,24043
279,999845.0,699891.5,1299798.5,24133
280,999845.0,699891.5,1299798.5,24218
281,999845.0,699891.5,1299798.5,24304
282,999845.0,699891.5,1299798.5,24394
283,999845.0,699891.5,1299798.5,24480
284,999845.0,699891.5,1299798.5,24568
285,999845.0,699891.5,1299798.5,24655
286,999845.0,699891.5,1299798.5,24740
287,999845.0,699891.5,1299798.5,24826
288,999845.0,699891.5,1299798.5,24912
289,999845.0,699891.5,1299798.5,25001
290,999845.0,699891.5,1299798.5,25088
291,999845.0,699891.5,1299798.5,25175
292,999845.0,699891.5,1299798.5,25260
293,999886.0,699920.2,1299851.8,25352
294,999886.0,699920.2,1299851.8,25438
295,999886.0,699920.2,1299851.8,25531
296,999886.0,699920.2,1299851.8,25616
297,999886.0,699920.2,1299851.8,25702
298,999886.0,699920.2,1299851.8,25791
299,999886.0,699920.2,1299851.8,25878
300,999886.0,699920.2,1299851.8,25964
301,999886.0,699920.2,1299851.8,26050
302,999886.0,699920.2,1299851.8,26137
303,999886.0,699920.2,1299851.8,26224
304,999886.0,699920.2,1299851.8,26313
305,999886.0,699920.2,1299851.8,26400
306,999886.0,699920.2,1299851.8,26487
307,999886.0,699920.2,1299851.8,26572
308,999886.0,699920.2,1299851.8,26659
309,999886.0,699920.2,1299851.8,26746
310,999886.0,699920.2,1299851.8,26833
311,999886.0,699920.2,1299851.8,26924
312,999886.0,699920.2,1299851.8,27011
313,999886.0,699920.2,1299851.8,27099
314,999886.0,699920.2,1299851.8,27186
315,999886.0,699920.2,1299851.8,27272
316,999886.0,699920.2,1299851.8,27359
317,999886.0,699920.2,1299851.8,27446
318,999886.0,699920.2,1299851.8,27535
319,999886.0,699920.2,1299851.8,27621
320,999886.0,699920.2,1299851.8,27709
321,999886.0,699920.2,1299851.8,27796
322,999886.0,699920.2,1299851.8,27884
323,999886.0,699920.2,1299851.8,27969
324,999886.0,699920.2,1299851.8,28056
325,999886.0,699920.2,1299851.8,28142
326,999886.0,699920.2,1299851.8,28228
327,999886.0,699920.2,1299851.8,28314
328,999886.0,699920.2,1299851.8,28405
329,999886.0,699920.2,1299851.8,28489
330,999886.0,699920.2,1299851.8,28574
331,999886.0,699920.2,1299851.8,28659
332,999886.0,699920.2,1299851.8,28745
333,999886.0,699920.2,1299851.8,28830
334,999886.0,699920.2,1299851.8,28920
335,999886.0,699920.2,1299851.8,29015
336,999886.0,699920.2,1299851.8,29102
337,999886.0,699920.2,1299851.8,29188
338,999886.0,699920.2,1299851.8,29276
339,999886.0,699920.2,1299851.8,29362
340,999886.0,699920.2,1299851.8,29455
341,999886.0,699920.2,1299851.8,29542
342,999886.0,699920.2,1299851.8,29626
343,999886.0,699920.2,1299851.8,29713
344,999886.0,699920.2,1299851.8,29800
345,999886.0,699920.2,1299851.8,29888
346,999886.0,699920.2,1299851.8,29975
347,999886.0,699920.2,1299851.8,30063
348,999886.0,699920.2,1299851.8,30150
349,999886.0,699920.2,1299851.8,30238
350,999886.0,699920.2,1299851.8,30325
351,999886.0,699920.2,1299851.8,30417
352,999886.0,699920.2,1299851.8,30508
353,999886.0,699920.2,1299851.8,30597
354,999886.0,699920.2,1299851.8,30684
355,999886.0,699920.2,1299851.8,30771
356,999886.0,699920.2,1299851.8,30858
357,999886.0,699920.2,1299851.8,30945
358,999886.0,699920.2,1299851.8,31032
359,999886.0,699920.2,1299851.8,31118
360,999886.0,699920.2,1299851.8,31205
361,999886.0,699920.2,1299851.8,31288
362,999886.0,699920.2,1299851.8,31373
363,999886.0,699920.2,1299851.8,31465
364,999886.0,699920.2,1299851.8,31551
365,999886.0,699920.2,1299851.8,31636
366,999886.0,699920.2,1299851.8,31721
367,999886.0,699920.2,1299851.8,31814
368,999886.0,699920.2,1299851.8,31903
369,999886.0,699920.2,1299851.8,31990
370,999886.0,699920.2,1299851.8,32074
371,999886.0,699920.2,1299851.8,32154
372,999886.0,699920.2,1299851.8,32235
373,999886.0,699920.2,1299851.8,32315
374,999886.0,699920.2,1299851.8,32395
375,999886.0,699920.2,1299851.8,32478
376,999886.0,699920.2,1299851.8,32561
377,999886.0,699920.2,1299851.8,32646
378,999886.0,699920.2,1299851.8,32724
379,999886.0,699920.2,1299851.8,32797
380,999886.0,699920.2,1299851.8,32879
381,999886.0,699920.2,1299851.8,32957
382,999886.0,699920.2,1299851.8,33037
383,999886.0,699920.2,1299851.8,33118
384,999886.0,699920.2,1299851.8,33202
385,999886.0,699920.2,1299851.8,33284
386,999886.0,699920.2,1299851.8,33364
387,999886.0,699920.2,1299851.8,33448
388,999886.0,699920.2,1299851.8,33531
389,999886.0,699920.2,1299851.8,33611
390,999886.0,699920.2,1299851.8,33693
391,999886.0,699920.2,1299851.8,33773
392,999886.0,699920.2,1299851.8,33852
393,999886.0,699920.2,1299851.8,33933
394,999886.0,699920.2,1299851.8,34016
395,999886.0,699920.2,1299851.8,34097
396,999886.0,699920.2,1299851.8,34172
397,999886.0,699920.2,1299851.8,34252
398,999886.0,699920.2,1299851.8,34328
399,999886.0,699920.2,1299851.8,34421
400,999886.0,699920.2,1299851.8,34503
401,999886.0,699920.2,1299851.8,34584
402,999886.0,699920.2,1299851.8,34665
403,999886.0,699920.2,1299851.8,34746
404,999886.0,699920.2,1299851.8,34829
405,999886.0,699920.2,1299851.8,34911
406,999886.0,699920.2,1299851.8,34990
407,999886.0,699920.2,1299851.8,35068
408,999886.0,699920.2,1299851.8,35148
409,999886.0,699920.2,1299851.8,35230
410,999886.0,699920.2,1299851.8,35310
411,999886.0,699920.2,1299851.8,35395
412,999886.0,699920.2,1299851.8,35479
413,999886.0,699920.2,1299851.8,35559
414,999886.0,699920.2,1299851.8,35638
415,999886.0,699920.2,1299851.8,35723
416,999886.0,699920.2,1299851.8,35803
417,999886.0,699920.2,1299851.8,35881
418,999886.0,699920.2,1299851.8,35963
419,999886.0,699920.2,1299851.8,36043
420,999886.0,699920.2,1299851.8,36124
421,999886.0,699920.2,1299851.8,36207
422,999886.0,699920.2,1299851.8,36287
423,999886.0,699920.2,1299851.8,36373
424,999886.0,699920.2,1299851.8,36454
425,999886.0,699920.2,1299851.8,36536
426,999886.0,699920.2,1299851.8,36615
427,999886.0,699920.2,1299851.8,36694
428,999886.0,699920.2,1299851.8,36771
429,999886.0,699920.2,1299851.8,36847
430,999886.0,699920.2,1299851.8,36936
431,999886.0,699920.2,1299851.8,37016
432,999886.0,699920.2,1299851.8,37099
433,999886.0,699920.2,1299851.8,37177
434,999886.0,699920.2,1299851.8,37255
435,999886.0,699920.2,1299851.8,37330
436,999886.0,699920.2,1299851.8,37409
437,999886.0,699920.2,1299851.8,37497
438,999886.0,699920.2,1299851.8,37579
439,999886.0,699920.2,1299851.8,37660
440,999886.0,699920.2,1299851.8,37740
441,999886.0,699920.2,1299851.8,37814
442,999886.0,699920.2,1299851.8,37893
443,999886.0,699920.2,1299851.8,37976
444,999886.0,699920.2,1299851.8,38053
445,999886.0,699920.2,1299851.8,38136
446,999886.0,699920.2,1299851.8,38218
447,999886.0,699920.2,1299851.8,38296
448,999886.0,699920.2,1299851.8,38375
449,999886.0,699920.2,1299851.8,38459
450,999886.0,699920.2,1299851.8,38537
451,999886.0,699920.2,1299851.8,38616
